room,price,district,floor,square
2-к квартира,4300000.0,р-н Мотовилихинский,2/10 эт.,53.0
3-к квартира,4400000.0,р-н Мотовилихинский,7/9 эт.,62.0
3-к квартира,9450000.0,р-н Свердловский,19/26 эт.,91.1
2-к квартира,2800000.0,р-н Ленинский,4/5 эт.,43.6
3-к квартира,9000000.0,р-н Свердловский,11/25 эт.,81.0
3-к квартира,4646400.0,р-н Индустриальный,4/25 эт.,72.6
2-к квартира,4500000.0,р-н Мотовилихинский,6/10 эт.,55.0
1-к квартира,2350000.0,р-н Мотовилихинский,7/10 эт.,34.7
4-к квартира,8750000.0,р-н Дзержинский,3/9 эт.,130.0
2-к квартира,3396000.0,р-н Кировский,3/16 эт.,55.3
1-к квартира,3300150.0,р-н Индустриальный,14/25 эт.,44.9
4-к квартира,8750000.0,р-н Дзержинский,3/9 эт.,130.0
2-к квартира,3396000.0,р-н Кировский,3/16 эт.,55.3
1-к квартира,3300150.0,р-н Индустриальный,14/25 эт.,44.9
4-к квартира,4950000.0,р-н Дзержинский,1/9 эт.,80.3
1-к квартира,2370000.0,р-н Дзержинский,1/5 эт.,30.4
2-к квартира,3980000.0,р-н Свердловский,13/16 эт.,55.0
3-к квартира,2900000.0,р-н Мотовилихинский,1/9 эт.,59.7
3-к апартаменты,7990000.0,р-н Свердловский,2/3 эт.,108.0
3-к квартира,9000000.0,р-н Свердловский,11/25 эт.,81.0
